iter,fitness,time,XPL,XPT,DIV
0,24122.0,0.011,100.0,0.0,0.45
1,16749.0,0.105,85.33,14.67,0.384
2,16749.0,0.086,67.78,32.22,0.305
3,11911.0,0.083,92.89,7.11,0.418
4,7543.0,0.094,89.11,10.89,0.401
5,7270.0,0.083,86.67,13.33,0.39
6,5228.0,0.125,86.67,13.33,0.39
7,4860.0,0.105,88.67,11.33,0.399
8,3573.0,0.102,87.78,12.22,0.395
9,3015.0,0.096,92.0,8.0,0.414
10,2591.0,0.094,84.67,15.33,0.381
11,2591.0,0.105,69.11,30.89,0.311
12,2591.0,0.119,87.11,12.89,0.392
13,2591.0,0.107,92.89,7.11,0.418
14,2591.0,0.098,85.33,14.67,0.384
15,2591.0,0.082,67.11,32.89,0.302
16,2591.0,0.095,91.11,8.89,0.41
17,2591.0,0.093,94.44,5.56,0.425
18,2591.0,0.106,97.56,2.44,0.439
19,2173.0,0.124,95.11,4.89,0.428
20,1782.0,0.11,87.11,12.89,0.392
21,1409.0,0.094,86.44,13.56,0.389
22,1409.0,0.081,80.22,19.78,0.361
23,1409.0,0.108,93.11,6.89,0.419
24,1409.0,0.105,89.56,10.44,0.403
25,1409.0,0.107,83.78,16.22,0.377
26,1327.0,0.143,68.0,32.0,0.306
27,1327.0,0.108,79.78,20.22,0.359
28,877.0,0.104,72.89,27.11,0.328
29,877.0,0.116,70.89,29.11,0.319
30,792.0,0.09,76.44,23.56,0.344
31,660.0,0.17,84.89,15.11,0.382
32,600.0,0.153,88.44,11.56,0.398
33,600.0,0.089,86.0,14.0,0.387
34,600.0,0.084,79.33,20.67,0.357
35,600.0,0.09,80.44,19.56,0.362
36,600.0,0.11,46.22,53.78,0.208
37,600.0,0.118,42.89,57.11,0.193
38,600.0,0.121,41.33,58.67,0.186
39,600.0,0.106,43.11,56.89,0.194
40,600.0,0.113,44.44,55.56,0.2
41,600.0,0.12,43.56,56.44,0.196
42,575.0,0.133,40.89,59.11,0.184
43,545.0,0.16,26.22,73.78,0.118
44,545.0,0.155,26.0,74.0,0.117
45,474.0,0.17,17.11,82.89,0.077
46,456.0,0.221,12.67,87.33,0.057
47,453.0,0.218,5.78,94.22,0.026
48,453.0,0.188,4.0,96.0,0.018
49,453.0,0.193,4.89,95.11,0.022
50,453.0,0.181,4.67,95.33,0.021
51,451.0,0.245,3.78,96.22,0.017
52,447.0,0.247,2.44,97.56,0.011
53,444.0,0.227,2.0,98.0,0.009
54,444.0,0.196,1.78,98.22,0.008
55,439.0,0.246,2.0,98.0,0.009
56,439.0,0.217,2.22,97.78,0.01
57,439.0,0.204,2.0,98.0,0.009
58,439.0,0.203,1.56,98.44,0.007
59,439.0,0.23,1.11,98.89,0.005
60,439.0,0.204,1.33,98.67,0.006
61,439.0,0.213,1.56,98.44,0.007
62,437.0,0.201,1.78,98.22,0.008
63,437.0,0.234,1.56,98.44,0.007
64,437.0,0.215,1.33,98.67,0.006
65,437.0,0.207,1.33,98.67,0.006
66,437.0,0.204,1.11,98.89,0.005
67,437.0,0.254,1.33,98.67,0.006
68,437.0,0.247,1.33,98.67,0.006
69,437.0,0.219,1.56,98.44,0.007
70,437.0,0.196,1.56,98.44,0.007
71,437.0,0.221,1.11,98.89,0.005
72,436.0,0.231,1.11,98.89,0.005
73,436.0,0.215,1.33,98.67,0.006
74,436.0,0.268,1.33,98.67,0.006
75,436.0,0.246,1.11,98.89,0.005
76,436.0,0.225,1.33,98.67,0.006
77,436.0,0.216,1.56,98.44,0.007
78,436.0,0.27,1.56,98.44,0.007
79,436.0,0.242,1.33,98.67,0.006
80,436.0,0.245,1.33,98.67,0.006
81,436.0,0.249,1.33,98.67,0.006
82,436.0,0.279,1.11,98.89,0.005
83,436.0,0.228,1.33,98.67,0.006
84,436.0,0.272,1.33,98.67,0.006
85,436.0,0.296,1.33,98.67,0.006
86,436.0,0.267,1.56,98.44,0.007
